calcimycin,d03.633.100.221.173
calbindin 1,d12.776.631.087
interleukin-27,d12.644.276.374.465.800
interleukin-27,d12.776.467.374.465.800
interleukin-27,d23.529.374.465.600
aurora kinase a,d08.811.913.696.620.682.700.103.500
aurora kinase a,d12.776.167.049.500
esomeprazole,d02.886.640.074.500.500
esomeprazole,d03.383.725.024.500.500
esomeprazole,d03.633.100.103.034.500.500
human coprophagia,f01.145.126.900
aurora kinase b,d08.811.913.696.620.682.700.103.750
aurora kinase b,d12.776.167.049.750
aurora kinase c,d08.811.913.696.620.682.700.103.875
aurora kinase c,d12.776.167.049.875
minichromosome maintenance proteins,d08.811.277.040.025.159.186
minichromosome maintenance proteins,d08.811.399.340.186
minichromosome maintenance proteins,d12.776.167.409
minichromosome maintenance proteins,d12.776.660.235.500
minichromosome maintenance proteins,d12.776.664.235.750
minichromosome maintenance complex component 2,d08.811.277.040.025.159.186.200
minichromosome maintenance complex component 2,d08.811.399.340.186.200
minichromosome maintenance complex component 2,d12.776.167.409.200
minichromosome maintenance complex component 2,d12.776.660.235.500.200
minichromosome maintenance complex component 2,d12.776.664.235.750.200
clustered regularly interspaced short palindromic repeats,g02.111.570.080.708.800.325.500
clustered regularly interspaced short palindromic repeats,g05.360.080.708.800.325.500
clustered regularly interspaced short palindromic repeats,g05.360.340.024.850.069
crispr-cas systems,g05.308.203.374.394
minichromosome maintenance complex component 3,d08.811.277.040.025.159.186.300
minichromosome maintenance complex component 3,d08.811.399.340.186.300
minichromosome maintenance complex component 3,d12.776.167.409.300
minichromosome maintenance complex component 3,d12.776.660.235.500.300
minichromosome maintenance complex component 3,d12.776.664.235.750.300
aurora kinases,d08.811.913.696.620.682.700.103
aurora kinases,d12.776.167.049
nodding syndrome,c10.228.140.490.375.525
"prostatic neoplasms, castration-resistant",c04.588.945.440.770.500
"prostatic neoplasms, castration-resistant",c12.294.260.750.500
"prostatic neoplasms, castration-resistant",c12.294.565.625.500
"prostatic neoplasms, castration-resistant",c12.758.409.750.500
crispr-associated proteins,d12.776.212
back muscles,a02.633.567.175
sports nutritional sciences,h02.403.830.500
sports nutritional sciences,h02.533.645
sports nutritional physiological phenomena,g07.203.650.830
chemotherapy-induced febrile neutropenia,c15.378.553.546.184.564.750.500
febrile neutropenia,c15.378.553.546.184.564.750
minichromosome maintenance complex component 4,d08.811.277.040.025.159.186.400
minichromosome maintenance complex component 4,d08.811.399.340.186.400
minichromosome maintenance complex component 4,d12.776.167.409.400
minichromosome maintenance complex component 4,d12.776.660.235.500.400
minichromosome maintenance complex component 4,d12.776.664.235.750.400
"influenza pandemic, 1918-1919",k01.400.504.968.450
minichromosome maintenance complex component 5,d08.811.277.040.025.159.186.500
minichromosome maintenance complex component 5,d08.811.399.340.186.500
minichromosome maintenance complex component 5,d12.776.167.409.500
minichromosome maintenance complex component 5,d12.776.660.235.500.500
minichromosome maintenance complex component 5,d12.776.664.235.750.500
minichromosome maintenance complex component 6,d08.811.277.040.025.159.186.600
minichromosome maintenance complex component 6,d08.811.399.340.186.600
minichromosome maintenance complex component 6,d12.776.167.409.600
minichromosome maintenance complex component 6,d12.776.660.235.500.600
minichromosome maintenance complex component 6,d12.776.664.235.750.600
vaccine potency,g12.300.500
recommended dietary allowances,g07.203.650.620.500
recommended dietary allowances,i01.655.500.608.400.650.500
recommended dietary allowances,i01.880.604.825.608.400.650.500
recommended dietary allowances,n03.623.500.608.428.650.500
minichromosome maintenance complex component 7,d08.811.277.040.025.159.186.700
minichromosome maintenance complex component 7,d08.811.399.340.186.700
minichromosome maintenance complex component 7,d12.776.167.409.700
minichromosome maintenance complex component 7,d12.776.660.235.500.700
minichromosome maintenance complex component 7,d12.776.664.235.750.700
intermediate back muscles,a02.633.567.175.500
paraspinal muscles,a02.633.567.175.750
superficial back muscles,a02.633.567.175.875
pharmacy residencies,i02.358.525.741
pharmacy residencies,i02.358.750.500
anaphase-promoting complex-cyclosome,d08.811.464.938.750.092
anaphase-promoting complex-cyclosome,d12.776.167.024
cephalochordata,b01.050.150.200.199
cephalochordata,b01.050.500.272.199
lancelets,b01.050.150.200.199.500
lancelets,b01.050.500.272.199.500
prenatal education,i02.233.332.500.500
prenatal education,n02.421.726.407.680.500
minichromosome maintenance complex component 8,d08.811.277.040.025.159.186.800
minichromosome maintenance complex component 8,d08.811.399.340.186.800
minichromosome maintenance complex component 8,d12.776.167.409.800
minichromosome maintenance complex component 8,d12.776.660.235.500.800
minichromosome maintenance complex component 8,d12.776.664.235.750.800
minichromosome maintenance complex component 9,d08.811.277.040.025.159.186.900
minichromosome maintenance complex component 9,d08.811.399.340.186.900
minichromosome maintenance complex component 9,d12.776.167.409.900
minichromosome maintenance complex component 9,d12.776.660.235.500.900
minichromosome maintenance complex component 9,d12.776.664.235.750.900
"apc1 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.500
"apc1 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.500
"apc2 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.750
"apc2 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.750
"apc3 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.875
"apc3 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.875
"apc4 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.937
"apc4 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.937
"apc5 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.968
"apc5 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.968
"apc6 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.984
"apc6 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.984
"apc7 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.992
"apc7 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.992
"apc8 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.996
"apc8 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.996
"apc10 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.625
"apc10 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.625
"apc11 subunit, anaphase-promoting complex-cyclosome",d08.811.464.938.750.092.687
"apc11 subunit, anaphase-promoting complex-cyclosome",d12.776.167.024.687
cdc20 proteins,d08.811.464.938.750.092.998
cdc20 proteins,d12.776.167.024.998
cdh1 proteins,d08.811.464.938.750.092.999
cdh1 proteins,d12.776.167.024.999
trichomes,a11.284.917
trichomes,a18.024.750.825
o'nyong-nyong virus,b04.820.850.054.586
aggregatibacter,b03.440.450.600.224
aggregatibacter,b03.660.250.550.170
aggregatibacter aphrophilus,b03.440.450.600.224.750
aggregatibacter aphrophilus,b03.660.250.550.170.750
aggregatibacter segnis,b03.440.450.600.224.875
aggregatibacter segnis,b03.660.250.550.170.875
phytochemicals,d23.704
secondary metabolism,g03.493.875
connectin,d08.811.913.696.620.682.324
connectin,d12.776.210.500.246
prescription drug diversion,i01.198.240.609
prescription drug diversion,i01.880.735.191.204
"chlorofluorocarbons, ethane",d02.455.526.439.220.224
"chlorofluorocarbons, ethane",d02.455.526.510.140.224
bromochlorofluorocarbons,d02.455.526.368.175
bromochlorofluorocarbons,d02.455.526.439.220.149
bromochlorofluorocarbons,d02.455.526.510.140.149
biological ontologies,l01.224.050.375.480.500
biological ontologies,l01.313.500.750.300.550.500
biological ontologies,l01.453.245.945.079
nestin,d05.750.078.593.540
nestin,d12.776.220.475.540
nestin,d12.776.631.607
visual analog scale,e01.370.928
sulfonylurea receptors,d12.776.157.530.400.600.450.550.500
sulfonylurea receptors,d12.776.543.550.450.750.450.550.500
sulfonylurea receptors,d12.776.543.585.100.805
sulfonylurea receptors,d12.776.543.585.400.750.450.550.500
sulfonylurea receptors,d12.776.827.775
matrilin proteins,d12.776.860.300.700
cartilage oligomeric matrix protein,d12.776.860.300.155
lipid accumulation product,e01.370.600.115.100.160.560.500
lipid accumulation product,e05.041.124.160.875.500
mad2 proteins,d12.776.167.313
mad2 proteins,d12.776.660.526
separase,d08.811.277.656.262.500.792
separase,d08.811.277.656.300.200.792
separase,d12.776.167.552
geminin,d12.776.167.265
securin,d12.776.167.504
hypertriglyceridemic waist,c18.452.584.500.500.851.875
hypertriglyceridemic waist,c23.888.521
multifunctional enzymes,d08.811.641
preexisting condition coverage,n03.219.521.576.585.500
intrinsically disordered proteins,d12.776.481
atp binding cassette transporter 1,d12.776.157.530.100.050.500
atp binding cassette transporter 1,d12.776.395.550.020.381.500
atp binding cassette transporter 1,d12.776.543.550.192.381.500
atp binding cassette transporter 1,d12.776.543.585.100.190.500
non-nutritive sweeteners,d27.720.372.300.353.609.500
non-nutritive sweeteners,g07.203.300.514.500.400.700.500
non-nutritive sweeteners,j02.500.514.500.400.700.500
microbiota,g06.591
microbiota,g16.500.275.157.049.100.500
microbiota,n06.230.124.049.100.500
ecological parameter monitoring,e05.298
mef2 transcription factors,d12.776.210.500.570.294
mef2 transcription factors,d12.776.260.103.750.294
mef2 transcription factors,d12.776.260.400.249.624
mef2 transcription factors,d12.776.930.125.750.294
mef2 transcription factors,d12.776.930.397.700
sagittal abdominal diameter,e01.370.600.115.100.160.340
sagittal abdominal diameter,e05.041.124.160.812
sagittal abdominal diameter,g07.100.100.160.340
"microscopy, electrochemical, scanning",e01.370.350.515.666.450
"microscopy, electrochemical, scanning",e05.595.666.450
torpor,g07.110.232.889
torpor,g07.410.421.889
torpor,g16.012.500.535.889
"genome, microbial",g05.360.340.358
"genes, microbial",g05.360.340.024.340.364
"genes, microbial",g05.360.340.358.024
olfactometry,e01.370.376.625
olfactometry,e05.638
healthy volunteers,m01.774.500
healthy volunteers,m01.955.236
"spike glycoprotein, coronavirus",d12.776.543.512.500.665
"spike glycoprotein, coronavirus",d12.776.964.970.880.910.665
hazardous waste sites,n06.850.780.200.800.800.900.449.500
hazardous waste sites,n06.850.860.510.900.700.500
ankle fractures,c26.404.014
patient harm,n06.850.135.060.075.349
patient harm,n06.850.725
senior centers,j03.850
senior centers,n02.421.143.913
human trafficking,i01.198.240.748.470
human trafficking,i01.880.735.384.399
streptomyces rimosus,b03.300.390.400.810.768.750
streptomyces rimosus,b03.510.024.049.775.775.750
streptomyces rimosus,b03.510.415.400.810.768.750
streptomyces rimosus,b03.510.460.410.810.768.750
levalbuterol,d02.033.100.291.057.500
levalbuterol,d02.092.063.291.057.500
levalbuterol,d02.092.471.683.061.500
3-phosphoinositide-dependent protein kinases,d08.811.913.696.620.682.700.745
type b personality,f01.752.747.905
type d personality,f01.752.747.917
hospital medicine,h02.403.377
vitamin k epoxide reductases,d08.811.682.690.708.961
chemically-induced disorders,c25
drug-related side effects and adverse reactions,c25.100
ambulance diversion,n02.421.297.879.049
drug trafficking,i01.198.240.247
drug trafficking,i01.880.735.191.101
tobacco use,f01.145.958
herbals as topic,l01.178.682.192.836.642
gasotransmitters,d01.362.282
gasotransmitters,d27.505.519.625.270
nutritive sweeteners,d27.720.372.300.353.609.750
nutritive sweeteners,g07.203.300.514.500.400.700.750
nutritive sweeteners,j02.500.514.500.400.700.750
hyperpolarization-activated cyclic nucleotide-gated channels,d12.776.157.530.400.368
hyperpolarization-activated cyclic nucleotide-gated channels,d12.776.543.550.450.476
hyperpolarization-activated cyclic nucleotide-gated channels,d12.776.543.585.400.476
fatty acid synthases,d08.811.277.352.897.387
fatty acid synthases,d08.811.520.241.300.287
fatty acid synthases,d08.811.682.047.820.196.500
fatty acid synthases,d08.811.913.050.134.029.500
fatty acid synthases,d08.811.913.050.170.500
nad (+) and nadp (+) dependent alcohol oxidoreductases,d08.811.682.047.820
3-oxoacyl-(acyl-carrier-protein) reductase,d08.811.682.047.820.196
orexin receptors,d12.776.543.750.695.023
orexin receptors,d12.776.543.750.720.600.074
orexin receptors,d12.776.543.750.750.555.074
checkpoint kinase 2,d08.811.913.696.620.682.700.145
filamins,a11.284.430.214.190.750.050.414
filamins,d05.750.078.730.315
filamins,d12.776.210.249
filamins,d12.776.220.525.315
sequestering agents,d27.505.519.914
sequestering agents,d27.720.832
workplace violence,i01.198.240.856.912
workplace violence,i01.880.735.900.912
hepcidins,d12.776.494.249
hepcidins,d12.776.543.695.054.425
"solute carrier family 12, member 1",d12.776.157.530.450.625.750.500
"solute carrier family 12, member 1",d12.776.157.530.937.750.500
"solute carrier family 12, member 1",d12.776.543.585.450.625.750.500
"solute carrier family 12, member 1",d12.776.543.585.937.875.500
"solute carrier family 12, member 3",d12.776.157.530.450.625.374.500
"solute carrier family 12, member 3",d12.776.157.530.937.750.750
"solute carrier family 12, member 3",d12.776.543.585.937.875.750
"solute carrier family 12, member 2",d12.776.157.530.450.625.750.625
"solute carrier family 12, member 2",d12.776.157.530.937.750.625
"solute carrier family 12, member 2",d12.776.543.585.450.625.750.625
"solute carrier family 12, member 2",d12.776.543.585.937.875.625
"solute carrier family 12, member 4",d12.776.157.530.450.625.750.875
"solute carrier family 12, member 4",d12.776.157.530.937.750.875
"solute carrier family 12, member 4",d12.776.543.585.450.625.750.875
"solute carrier family 12, member 4",d12.776.543.585.937.875.875
etiolation,g07.345.625.124
etiolation,g15.150
"receptor, metabotropic glutamate 5",d12.776.543.750.695.450.500
"receptor, metabotropic glutamate 5",d12.776.543.750.720.200.450.500.500
peripherins,d05.750.078.593.765
histocompatibility antigen h-2d,d23.050.301.500.100.375
protein kinase c beta,d08.811.913.696.620.682.700.725.049
myxovirus resistance proteins,d08.811.277.040.330.300.550
myxovirus resistance proteins,d12.776.157.325.636
hand sanitizers,d27.505.954.122.187.500
hand sanitizers,d27.505.954.122.425.650
hand sanitizers,d27.720.274.650
myeloid cell leukemia sequence 1 protein,d12.644.360.075.718.984
myeloid cell leukemia sequence 1 protein,d12.776.476.075.718.968
myeloid cell leukemia sequence 1 protein,d12.776.624.664.700.169.500
death-associated protein kinases,d08.811.913.696.620.682.700.125.387
death-associated protein kinases,d12.644.360.100.387
death-associated protein kinases,d12.776.476.100.387
s100 calcium binding protein beta subunit,d12.776.157.125.750.625
s100 calcium binding protein beta subunit,d12.776.631.655.750
alpha7 nicotinic acetylcholine receptor,d12.776.157.530.400.400.100.500.500
alpha7 nicotinic acetylcholine receptor,d12.776.543.550.450.500.100.500.500
alpha7 nicotinic acetylcholine receptor,d12.776.543.585.400.500.100.500.500
alpha7 nicotinic acetylcholine receptor,d12.776.543.750.130.687.500
alpha7 nicotinic acetylcholine receptor,d12.776.543.750.720.360.550.500
ubiquitin-specific proteases,d08.811.037.750
ubiquitin-specific proteases,d08.811.277.656.300.887
selenic acid,d01.810.449
osmoregulation,g02.111.635
